order_id,user_id,order_datetime,num_items,subtotal,shipping_fee,tax,discount_total,total,payment_method,order_status,shipping_city,shipping_country
O00000001,U000035,2024-04-05T22:40:16.570883,4,1172.97,0.0,130.87,23.37,1303.84,Paypal,returned,Lake Rachelhaven,Panama
O00000002,U000050,2025-03-15T07:00:56.617123,1,122.9,0.0,12.99,0.0,135.89,Gift Card,cancelled,Port Loriport,San Marino
O00000003,U000756,2024-10-19T07:03:52.310462,1,298.53,0.0,15.61,142.25,314.14,Credit Card,cancelled,Heatherborough,Finland
O00000004,U000404,2025-07-05T08:21:35.745136,1,19.74,10.65,1.7,0.0,32.09,UPI,processing,East Christophertown,Saint Lucia
O00000005,U000314,2025-06-29T21:33:37.260338,1,137.98,0.0,8.54,0.0,146.52,COD,shipped,Stevenville,French Polynesia
O00000006,U000642,2025-07-22T20:46:03.718186,1,30.03,11.77,1.91,0.0,43.71,UPI,shipped,Peterberg,Argentina
O00000007,U000253,2024-02-11T05:39:39.032158,1,39.62,10.31,3.58,0.0,53.51,Debit Card,shipped,South Travis,Costa Rica
O00000008,U000218,2025-11-07T21:58:50.789386,1,82.74,4.98,9.37,0.0,97.09,COD,cancelled,Rosemouth,Estonia
O00000009,U000983,2024-09-12T10:57:18.315849,2,449.79,0.0,38.37,108.39,488.16,UPI,processing,Port Alexander,Honduras
O00000010,U000977,2025-01-21T22:46:14.761351,2,221.21,0.0,20.77,0.0,241.98,Paypal,processing,North Joseph,Kuwait
O00000011,U000617,2025-11-12T00:39:49.252103,6,1153.53,0.0,101.58,66.74,1255.11,Credit Card,processing,South Alison,Czech Republic
O00000012,U000505,2025-10-18T11:53:02.623953,2,348.31,0.0,20.6,0.0,368.91,Gift Card,returned,Baldwinville,United States Minor Outlying Islands
O00000013,U000305,2025-08-20T04:29:44.932866,3,422.25,0.0,26.84,0.0,449.09,Debit Card,shipped,Lake Nathan,Argentina
O00000014,U000853,2024-08-11T17:10:52.689463,3,1739.8,0.0,200.86,0.0,1940.66,UPI,completed,Josephview,Madagascar
O00000015,U000551,2025-01-03T13:05:41.956673,1,95.82,8.42,5.48,0.0,109.72,Gift Card,processing,Martinezport,Syrian Arab Republic
O00000016,U000503,2024-07-12T07:55:25.182907,3,598.03,0.0,37.46,0.0,635.49,Credit Card,shipped,Jonathanland,Puerto Rico
O00000017,U000727,2024-08-16T06:52:55.869742,1,242.47,0.0,27.61,0.0,270.08,Debit Card,shipped,Faulknerborough,France
O00000018,U000433,2024-02-15T21:40:09.117878,1,98.15,7.02,8.25,39.83,113.42,UPI,completed,Alexanderville,Trinidad and Tobago
O00000019,U000871,2024-02-21T16:16:15.682070,2,409.94,0.0,46.03,0.0,455.97,UPI,shipped,Flemingchester,Belarus
O00000020,U000074,2024-03-04T00:37:40.918332,3,265.11,0.0,23.78,8.24,288.89,COD,completed,West Jessicashire,Ethiopia
O00000021,U000390,2025-01-16T20:53:57.153718,4,259.45,0.0,13.06,1.21,272.51,COD,returned,South Coreyburgh,Togo
O00000022,U000220,2024-03-17T20:05:24.517932,3,819.42,0.0,70.32,37.12,889.74,Debit Card,cancelled,Carlsonshire,Iceland
O00000023,U000235,2024-04-18T05:24:13.820524,1,267.08,0.0,15.5,0.0,282.58,Debit Card,completed,Lisachester,Qatar
O00000024,U000885,2024-12-17T05:37:18.963162,2,75.64,9.69,8.76,0.0,94.09,Paypal,returned,Jaimeburgh,Congo
O00000025,U000976,2025-08-05T09:59:35.838666,5,1839.05,0.0,187.88,0.0,2026.93,Gift Card,shipped,North Jill,Netherlands
