review_id,order_id,product_id,user_id,rating,review_text,review_date
R00005420,O00002609,P000050,U000062,4,Fast shipping and good packaging.,2024-02-22T09:16:30.591399
R00002330,O00001109,P000449,U000201,3,Customer service was helpful.,2025-09-25T19:01:46.645299
R00001262,O00000598,P000051,U000525,4,"Excellent product, will buy again.",2025-08-24T10:56:04.093246
R00006977,O00003367,P000332,U000849,3,Works perfectly!,2025-08-27T13:40:39.974956
R00005612,O00002709,P000311,U000185,3,Fast shipping and good packaging.,2024-10-06T14:21:52.380607
R00010178,O00004898,P000261,U000211,5,Highly recommend this brand.,2025-01-08T07:29:06.723814
R00001159,O00000550,P000290,U000325,3,"Excellent product, will buy again.",2024-12-15T06:36:44.828391
R00014159,O00006790,P000325,U000277,4,"Not as expected, quality is poor.",2025-07-31T12:10:46.372277
R00008708,O00004209,P000379,U000108,2,Fast shipping and good packaging.,2025-06-24T10:23:42.250453
R00013030,O00006251,P000402,U000901,4,Highly recommend this brand.,2024-07-19T17:18:17.800088
R00013608,O00006523,P000394,U000623,4,Color was different from images.,2024-11-15T11:36:37.023345
R00004208,O00002015,P000025,U000359,3,"Excellent product, will buy again.",2024-02-25T01:48:35.064932
R00002360,O00001125,P000094,U000232,4,Highly recommend this brand.,2024-04-19T04:42:39.029623
R00016652,O00007928,P000026,U000884,2,Value for money.,2024-02-11T02:25:46.764162
R00004493,O00002142,P000200,U000762,5,"Excellent product, will buy again.",2024-05-22T01:29:46.800531
R00003759,O00001803,P000450,U000728,3,Fast shipping and good packaging.,2024-01-11T06:58:27.681133
R00013616,O00006527,P000336,U000809,3,Value for money.,2024-10-09T08:12:43.340513
R00001525,O00000727,P000043,U000233,4,Item arrived damaged.,2025-09-29T22:22:19.693315
R00010012,O00004816,P000302,U000432,1,Decent product for the price.,2025-07-05T11:49:59.279391
R00008484,O00004091,P000313,U000276,4,Customer service was helpful.,2024-07-26T11:06:18.760363
R00002693,O00001291,P000240,U000573,4,Fast shipping and good packaging.,2025-01-21T21:18:18.089479
R00008155,O00003926,P000271,U000153,5,Value for money.,2025-11-10T12:00:39.482620
R00012240,O00005873,P000084,U000802,3,Fast shipping and good packaging.,2025-10-27T21:52:03.442852
R00014608,O00006998,P000348,U000980,3,Highly recommend this brand.,2024-03-26T21:05:44.303546
R00002447,O00001165,P000451,U000339,5,Highly recommend this brand.,2024-08-02T05:36:22.412865
R00005675,O00002738,P000053,U000936,4,Works perfectly!,2024-07-04T23:06:13.654804
R00016318,O00007781,P000479,U000450,3,Color was different from images.,2024-05-23T06:44:23.478869
R00007109,O00003428,P000017,U000174,5,Highly recommend this brand.,2024-02-06T16:40:42.786552
R00014563,O00006978,P000322,U000098,2,Highly recommend this brand.,2025-05-11T14:58:17.265033
R00006203,O00002987,P000042,U000372,3,Customer service was helpful.,2025-08-24T00:49:24.558563
R00003575,O00001719,P000121,U000813,2,Item arrived damaged.,2025-05-30T16:01:22.066258
R00009371,O00004538,P000180,U000538,4,Color was different from images.,2025-01-09T14:46:35.432706
R00007387,O00003544,P000216,U000773,4,Color was different from images.,2025-10-10T01:44:15.970288
R00007226,O00003479,P000286,U000563,3,Decent product for the price.,2024-04-13T03:47:37.134164
R00002647,O00001268,P000221,U000529,3,Works perfectly!,2024-08-18T00:20:47.678312
